time,open,high,low,close,tick_volume,spread,real_volume
2025-11-28 12:29:00,156.285,156.328,156.282,156.3,277.0,25,0.0
2025-11-28 12:30:00,156.298,156.328,156.278,156.327,308.0,29,0.0
2025-11-28 12:31:00,156.323,156.328,156.272,156.312,408.0,27,0.0
2025-11-28 12:32:00,156.312,156.317,156.267,156.314,314.0,28,0.0
2025-11-28 12:33:00,156.314,156.326,156.268,156.282,287.0,29,0.0
2025-11-28 12:34:00,156.282,156.309,156.257,156.308,189.0,31,0.0
2025-11-28 12:35:00,156.31,156.323,156.297,156.323,227.0,29,0.0
2025-11-28 12:36:00,156.322,156.326,156.262,156.293,318.0,26,0.0
2025-11-28 12:37:00,156.293,156.321,156.254,156.269,278.0,27,0.0
2025-11-28 12:38:00,156.27,156.31,156.27,156.308,227.0,32,0.0
2025-11-28 12:39:00,156.307,156.313,156.261,156.313,202.0,33,0.0
2025-11-28 12:40:00,156.313,156.314,156.274,156.277,246.0,35,0.0
2025-11-28 12:41:00,156.278,156.311,156.256,156.284,311.0,33,0.0
2025-11-28 12:42:00,156.283,156.314,156.282,156.305,268.0,34,0.0
2025-11-28 12:43:00,156.305,156.312,156.303,156.307,104.0,33,0.0
2025-11-28 12:44:00,156.308,156.311,156.246,156.29,219.0,31,0.0
2025-11-28 12:45:00,156.291,156.317,156.271,156.278,307.0,26,0.0
2025-11-28 12:46:00,156.278,156.31,156.271,156.291,308.0,36,0.0
2025-11-28 12:47:00,156.29,156.318,156.286,156.313,359.0,32,0.0
2025-11-28 12:48:00,156.316,156.32,156.297,156.304,280.0,25,0.0
2025-11-28 12:49:00,156.305,156.315,156.298,156.304,324.0,26,0.0
2025-11-28 12:50:00,156.303,156.316,156.281,156.281,309.0,27,0.0
2025-11-28 12:51:00,156.282,156.297,156.281,156.29,242.0,28,0.0
2025-11-28 12:52:00,156.291,156.31,156.272,156.285,242.0,29,0.0
2025-11-28 12:53:00,156.285,156.293,156.277,156.286,219.0,21,0.0
2025-11-28 12:54:00,156.286,156.29,156.276,156.279,146.0,22,0.0
